ID,Type,Priority,Operation,Scheme,Water (ML),Date
105195,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105199,#N/A,#N/A,#N/A,#N/A,0.37,2017-2018 Q1
105200,#N/A,Medium,South Walsh ,Mareeba Dimbulah,33.33,2017-2018 Q1
105202,#N/A,Medium,West Barron ,Mareeba Dimbulah,8.49,2017-2018 Q1
105203,#N/A,Medium,Biboohra,Mareeba Dimbulah,9.26,2017-2018 Q1
105204,#N/A,Medium,Southedge ,Mareeba Dimbulah,8.16,2017-2018 Q1
105205,#N/A,Medium,Biboohra,Mareeba Dimbulah,39.11,2017-2018 Q1
105207,#N/A,Medium,West Barron ,Mareeba Dimbulah,57.559,2017-2018 Q1
105212,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,6.169,2017-2018 Q1
105214,#N/A,Medium,South Walsh ,Mareeba Dimbulah,16.557,2017-2018 Q1
105219,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105221,#N/A,Medium,Mareeba ,Mareeba Dimbulah,6.686,2017-2018 Q1
105223,#N/A,Medium,East Barron ,Mareeba Dimbulah,11.78,2017-2018 Q1
105224,#N/A,Medium,South Walsh ,Mareeba Dimbulah,15.202,2017-2018 Q1
105231,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105234,#N/A,Medium,Mareeba ,Mareeba Dimbulah,1.19,2017-2018 Q1
105236,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
105237,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0.274,2017-2018 Q1
105238,#N/A,Medium,South Walsh ,Mareeba Dimbulah,1.95,2017-2018 Q1
105245,#N/A,#N/A,#N/A,#N/A,0.56,2017-2018 Q1
105246,#N/A,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
105251,#N/A,#N/A,#N/A,#N/A,25.362,2017-2018 Q1
105252,#N/A,Medium,Southedge ,Mareeba Dimbulah,24.068,2017-2018 Q1
105254,#N/A,#N/A,#N/A,#N/A,9.291,2017-2018 Q1
105255,#N/A,Medium,Southedge ,Mareeba Dimbulah,0.986,2017-2018 Q1
105265,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,3.41,2017-2018 Q1
105266,#N/A,Medium,Mareeba ,Mareeba Dimbulah,4.352,2017-2018 Q1
105270,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0.721,2017-2018 Q1
105273,#N/A,Medium,South Walsh ,Mareeba Dimbulah,55.15,2017-2018 Q1
105274,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105277,#N/A,Medium,Mareeba ,Mareeba Dimbulah,74.218,2017-2018 Q1
105278,#N/A,Medium,Southedge ,Mareeba Dimbulah,67.08,2017-2018 Q1
105280,#N/A,#N/A,#N/A,#N/A,15.62,2017-2018 Q1
105283,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105291,#N/A,Medium,South Walsh ,Mareeba Dimbulah,20.055,2017-2018 Q1
105297,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105302,#N/A,#N/A,#N/A,#N/A,1.918,2017-2018 Q1
105303,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,0.298,2017-2018 Q1
105304,#N/A,#N/A,#N/A,#N/A,9.73,2017-2018 Q1
105305,#N/A,#N/A,#N/A,#N/A,1.71,2017-2018 Q1
105307,#N/A,#N/A,#N/A,#N/A,6.373,2017-2018 Q1
105312,#N/A,Medium,Southedge ,Mareeba Dimbulah,58.9,2017-2018 Q1
105313,#N/A,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
105315,#N/A,Medium,South Walsh ,Mareeba Dimbulah,45.101,2017-2018 Q1
105316,#N/A,Medium,South Walsh ,Mareeba Dimbulah,23.58,2017-2018 Q1
105317,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
105318,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
105319,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
105321,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,17.178,2017-2018 Q1
105322,#N/A,Medium,Paddys Green relift ,Mareeba Dimbulah,19.609,2017-2018 Q1
105323,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0.01,2017-2018 Q1
105324,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0.54,2017-2018 Q1
105329,#N/A,Medium,East Barron ,Mareeba Dimbulah,32.557,2017-2018 Q1
105333,#N/A,Medium,East Barron ,Mareeba Dimbulah,42.13,2017-2018 Q1
105334,#N/A,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
105339,#N/A,#N/A,#N/A,#N/A,0.54,2017-2018 Q1
105342,#N/A,Medium,Mareeba ,Mareeba Dimbulah,5.32,2017-2018 Q1
105345,#N/A,#N/A,#N/A,#N/A,0.351,2017-2018 Q1
105348,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105349,#N/A,Medium,Southedge ,Mareeba Dimbulah,0,2017-2018 Q1
105354,#N/A,Medium,South Walsh ,Mareeba Dimbulah,13.26,2017-2018 Q1
105360,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105361,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105365,#N/A,Medium,Mareeba ,Mareeba Dimbulah,35.069,2017-2018 Q1
105368,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0.79,2017-2018 Q1
105370,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,0,2017-2018 Q1
105371,#N/A,Medium,South Walsh ,Mareeba Dimbulah,60.16,2017-2018 Q1
105372,#N/A,Medium,South Walsh ,Mareeba Dimbulah,15.105,2017-2018 Q1
105373,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0.165,2017-2018 Q1
105378,#N/A,#N/A,#N/A,#N/A,1.56,2017-2018 Q1
105387,#N/A,Medium,South Walsh ,Mareeba Dimbulah,1.15,2017-2018 Q1
105397,#N/A,#N/A,#N/A,#N/A,0.31,2017-2018 Q1
105400,#N/A,Medium,Mareeba ,Mareeba Dimbulah,2.056,2017-2018 Q1
105401,#N/A,Medium,Price Creek relift,Mareeba Dimbulah,27.078,2017-2018 Q1
105408,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
105409,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
105412,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0,2017-2018 Q1
105415,#N/A,#N/A,#N/A,#N/A,30.759,2017-2018 Q1
105416,#N/A,#N/A,#N/A,#N/A,34.785,2017-2018 Q1
105419,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105424,#N/A,Medium,South Walsh ,Mareeba Dimbulah,9.68,2017-2018 Q1
105430,#N/A,#N/A,#N/A,#N/A,2.064,2017-2018 Q1
105438,#N/A,Medium,Biboohra,Mareeba Dimbulah,0,2017-2018 Q1
105440,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,2.067,2017-2018 Q1
105443,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105446,#N/A,Medium,Southedge ,Mareeba Dimbulah,1.127,2017-2018 Q1
105450,#N/A,Medium,South Walsh ,Mareeba Dimbulah,20.11,2017-2018 Q1
105451,#N/A,Medium,South Walsh ,Mareeba Dimbulah,13.948,2017-2018 Q1
105452,#N/A,#N/A,#N/A,#N/A,60.124,2017-2018 Q1
105457,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105458,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0,2017-2018 Q1
105461,#N/A,Medium,South Walsh ,Mareeba Dimbulah,25.621,2017-2018 Q1
